SBOM_operation,Quartile,Pearson residual,Depedency count
BUILD,1,-2.4692497371571416,446
BUILD,2,1.6295260131800078,443
BUILD,3,0.9619069936231528,454
BUILD,4,0.10821892534167527,435
ANALYZE,1,-1.81249843481358,50
ANALYZE,2,-0.9367327272296909,46
ANALYZE,3,0.28186765643741946,58
ANALYZE,4,2.5802738393657108,75
EDIT,1,-1.8609936839966021,16
EDIT,2,-1.0435147344997688,16
EDIT,3,-0.632955937657104,19
EDIT,4,3.6525110867578148,39
VIEW,1,5.225374226739603,133
VIEW,2,-3.170005649880972,43
VIEW,3,-2.621091101451861,51
VIEW,4,0.08638412138048043,74
DIFF,1,5.629233478598031,120
DIFF,2,-2.477221186757192,40
DIFF,3,-2.970762658249742,39
DIFF,4,-0.6724525228383672,57
IMPORT,1,4.985772566181114,129
IMPORT,2,-1.9677578797429787,52
IMPORT,3,-1.793655464513701,57
IMPORT,4,-1.65456001432949,58
TRANSLATE,1,-1.1324230952798746,338
TRANSLATE,2,0.9906618284716404,311
TRANSLATE,3,1.2361735970208916,333
TRANSLATE,4,-0.9833798901067218,293
MERGE,1,-1.8609936839966021,16
MERGE,2,-1.0435147344997688,16
MERGE,3,-0.632955937657104,19
MERGE,4,3.6525110867578148,39
SUPPORT,1,-1.5049144593662995,405
SUPPORT,2,1.4837465398594127,385
SUPPORT,3,1.192269172597814,401
SUPPORT,4,-1.0184618355397914,357
